dn
"ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sb235,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lb088,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sk279,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ts154,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ns097,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ku,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mf132,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rj016,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cb150,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sg145,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=oe007,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms454,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sb236,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fe037,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vk048,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ah179,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sl117,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mg170,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vs068,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=td038,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jh191,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mm237,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss416,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kh097,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ma083,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=df042,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jh192,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mk270,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dm094,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lp045,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ma084,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mh272,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sr137,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sb237,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lg037,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ii005,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms455,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lw066,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sg146,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ts155,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fg054,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bi005,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ck146,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wr006,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gm029,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jb186,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mb276,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rj017,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=zc001,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dk094,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nw054,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=js323,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jg104,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dz026,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bb076,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mk272,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kk126,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rr041,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kv016,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=my015,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=de026,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=as294,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hb053,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ka030,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fb074,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pz012,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cl052,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vp021,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mf133,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=er036,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nm052,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ad070,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rl040,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hh043,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ce038,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ya011,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gg026,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ea018,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pk072,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jr081,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pf022,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mo041,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mw189,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vogelm,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=krauss,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=theobald,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bichler,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dadvar,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=zapilko,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hermentin,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=morawiec,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mueller-otto,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=henschel,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=knoll,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lingamaneni,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hs084,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ns098,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sl118,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hw037,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wl005,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=yl013,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jl094,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=zh003,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=zz004,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bw036,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ml115,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=xw007,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=df043,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ql001,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fm066,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=qd004,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rieger,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gruel,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=werther,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=thieme,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=eb053,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jk179,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ba030,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mc046,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=md101,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=md102,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ee021,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ng049,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kh098,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fl041,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gl015,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sn045,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tilgner,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=yn004,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=go008,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rs108,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fs112,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fs113,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jr083,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jd069,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=es088,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ns099,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms457,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lm074,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lg038,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ra022,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bw037,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vw020,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lq002,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pw046,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=yc008,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=no014,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ou005,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ej007,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bh053,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kf054,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=me089,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vk050,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lt023,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jk180,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lt024,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sk280,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vv006,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=aw135,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tr075,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nb085,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms458,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vk051,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dm096,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jh193,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ap090,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cs235,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pr055,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tr076,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mb279,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=js324,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mt080,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mk273,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rv017,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bh054,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ts156,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pk073,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=af080,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sh258,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ga013,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rc014,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bk087,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ph062,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cz023,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fd030,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nr037,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ln022,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mn047,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fc015,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms459,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tn036,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ba031,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mo043,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fd031,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vh042,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sg147,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mf135,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jm105,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sk281,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cv017,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jr084,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dh081,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sk282,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=js325,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rm043,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jn025,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cr092,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jl095,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mz071,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=la027,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mp127,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ah180,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dk095,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lk112,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ce039,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jb187,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sz055,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ca042,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=am162,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ng050,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ma085,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=am163,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=at059,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cb151,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss418,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kh099,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sp074,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kw062,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss419,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jf079,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sr138,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nk084,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ab209,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tv021,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sm176,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sk283,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ne023,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ke024,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=eo017,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sk284,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jh194,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=it016,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mw191,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mm239,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ak233,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kn017,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=md103,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=md104,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nf024,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=af081,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nh068,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hm032,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lh068,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kn018,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ve016,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=aa057,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=at060,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ph063,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fs114,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kl054,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lk113,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cw089,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sm177,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vb042,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=is068,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mr159,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nm053,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss420,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mm240,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ja044,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=es090,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ke025,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=re027,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mh273,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=de027,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bs089,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lu003,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jc019,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss421,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mk274,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ak234,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=im040,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sk286,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mm241,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fs115,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ce040,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nh069,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=es091,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=km070,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jw119,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dt025,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ml116,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss422,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ff044,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sk287,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rz014,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jh195,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=al101,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ez013,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ts157,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ln023,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fh091,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tk129,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ad071,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dr059,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=as296,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mp128,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ck148,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mk275,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jk181,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=al102,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=te027,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ig030,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dk096,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ao027,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vb043,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fs116,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ch128,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rm044,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nb086,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jd070,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ns100,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lm075,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tm090,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fu003,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss423,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lj021,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bb078,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hr035,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mg172,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mb280,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jb188,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rr042,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ta029,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sf090,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mi017,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jb189,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mf136,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ch129,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lh069,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vd022,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sj041,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ts158,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sm178,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ek067,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ks182,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mk276,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ng051,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jk182,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nr039,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lh070,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bh055,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kr045,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mm242,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=og016,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=js326,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jr085,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=if016,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ej008,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ck149,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jm106,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mh275,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ts159,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=es092,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cs236,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ch130,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dg075,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pj012,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mh276,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pw047,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mj057,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cg087,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jl096,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vs069,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ls113,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=co021,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jh196,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jg105,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jj031,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mn048,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ez014,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lh071,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms461,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gz005,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jl097,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jr086,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mw192,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cb152,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ia016,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jr087,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jd071,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ng052,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fe038,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kz021,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nf025,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vh043,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mm243,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ds170,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vr030,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kl055,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=au019,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=es093,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tr077,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sl119,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cm114,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mk277,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sd100,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ow011,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms462,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ml117,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=po011,ou=userlist,dc=hdm-stuttgart,dc=de"
