dn
"ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=luik,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=arnesano,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schlitter,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=boba,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=xy02,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mh03,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=xy01,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=luscher,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kf04,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=msbrandt,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ck10,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=georgi,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bauer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hagenm,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=messer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hv05,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=michel,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=menze,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tiefdruck,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fritz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fred,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vca,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sm22,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=asta,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wmnet,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=thies,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=herrmann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=moedinger,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=heidtmann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=richter,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=riegel,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bleher,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=reiser,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fried,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=faigle,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mistudent,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=biener,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schmidt,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=laezer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=chen,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=engel,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fs12,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fs10,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=alscher,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nehmiz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=laidig,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hedler,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms51,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=un03,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vodosek,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=merdian,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=moroff,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=paap,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=speck,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pache,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wehdeking,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rota,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rose,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kugel,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=roos,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kretschmar,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=roesch,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=maier,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schaul,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=steiner,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tom,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=blum,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=linz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ohnmacht,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hschulz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schnei,ou=userlist,dc=hdm-stuttgart,dc=de"
